city_code,city_name,latitud,longitud,country_code,is_coastal
MAD,Madrid,40.41,-3.70,ES,0
BCN,Barcelona,41.38,2.17,ES,1
VLC,Valencia,39.46,-0.37,ES,1
ZGZ,Zaragoza,41.64,-0.88,ES,0
SVQ,Sevilla,37.38,-5.98,ES,0
AGP,Málaga,36.72,-4.42,ES,1
MUR,Murcia,37.99,-1.13,ES,0
PMI,Palma de Mallorca,39.56,2.65,ES,1
LPA,Las Palmas de Gran Canaria,28.12,-15.43,ES,1
ALC,Alicante,38.34,-0.48,ES,1
BIO,Bilbao,43.26,-2.93,ES,1
COR,Córdoba,37.88,-4.77,ES,0
VLL,Valladolid,41.65,-4.72,ES,0
VIT,Vitoria,42.84,-2.67,ES,0
ACU,A Coruña,43.36,-8.41,ES,1
GRA,Granada,37.17,-3.59,ES,0
OVI,Oviedo,43.36,-5.84,ES,0
TFN,Santa Cruz de Tenerife,28.46,-16.25,ES,1
PAM,Pamplona,42.81,-1.64,ES,0
ALM,Almería,36.83,-2.46,ES,1
SSN,San Sebastián,43.31,-1.98,ES,1
BUR,Burgos,42.34,-3.69,ES,0
ALB,Albacete,38.99,-1.85,ES,0
SDR,Santander,43.46,-3.80,ES,1
CAS,Castellón de la Plana,39.98,-0.05,ES,1
LOG,Logroño,42.46,-2.44,ES,0
BDJ,Badajoz,38.87,-6.97,ES,0
SAL,Salamanca,40.97,-5.66,ES,0
HUE,Huelva,37.26,-6.94,ES,1
LER,Lérida,41.61,0.62,ES,0
TAR,Tarragona,41.11,1.24,ES,1
LEO,León,42.59,-5.56,ES,0
JAE,Jaén,37.77,-3.78,ES,0
CAD,Cádiz,36.52,-6.28,ES,1
ORE,Orense,42.33,-7.86,ES,0
GER,Gerona,41.97,2.82,ES,0
LUG,Lugo,43.01,-7.55,ES,0
CAC,Cáceres,39.47,-6.37,ES,0
GUA,Guadalajara,40.63,-3.16,ES,0
MEL,Melilla,35.29,-2.93,ES,1
TOL,Toledo,39.86,-4.02,ES,0
CEU,Ceuta,35.88,-5.31,ES,1
PON,Pontevedra,42.43,-8.64,ES,1
PAL,Palencia,42.00,-4.52,ES,0
CRV,Ciudad Real,38.98,-3.92,ES,0
ZAM,Zamora,41.50,-5.74,ES,0
AVI,Ávila,40.65,-4.70,ES,0
HUA,Huesca,42.13,-0.40,ES,0
CUE,Cuenca,40.07,-2.13,ES,0
SEG,Segovia,40.94,-4.10,ES,0
SOR,Soria,41.76,-2.46,ES,0
TER,Teruel,40.34,-1.10,ES,0
